Date,Description,Amount,Currency,Balance
2023-08-31,Service Fee,-10.00,CAD,1000.00
2023-09-05,Wire Transfer to Chronos AI Investments,10000.00,CAD,10000.00
2023-09-12,Wire Transfer to Chronos AI Investments,5000.00,CAD,15000.00
2023-09-19,Service Fee,-10.00,CAD,14990.00
2023-09-26,Service Fee,-10.00,CAD,14980.00
2023-10-03,Service Fee,-10.00,CAD,14970.00
2023-10-19,Wire Transfer to Chronos AI Investments,7500.00,CAD,7260.00
2023-10-26,Service Fee,-10.00,CAD,7250.00
2023-11-02,Service Fee,-10.00,CAD,7240.00
2023-11-09,Service Fee,-10.00,CAD,7230.00
2023-11-16,Service Fee,-10.00,CAD,7220.00
2024-01-15,Service Fee,-10.00,CAD,7210.00
