Date,Description,Amount (USD)
2023-08-10,Grocery Shopping,-50.00
2023-08-15,Utility Bill,-120.00
2023-08-25,Restaurant,-75.00
2023-09-01,Transfer to AITradingSolutions LLC,10000.00
2023-09-05,Insurance Payment,-300.00
2023-09-10,Online Purchase,-100.00
2023-09-15,Salary Deposit,6000.00
2023-09-20,Withdrawal,50.00
2023-10-01,Online Purchase,-80.00
2023-10-10,Restaurant,-60.00
2023-10-15,Salary Deposit,6000.00
2023-11-01,Transfer to AITradingSolutions LLC,5000.00
2023-11-05,Mortgage Payment,-2000.00
2023-11-08,Withdrawal Attempt,,-5000.00
2023-11-10,Online Purchase,-40.00
2023-11-15,Salary Deposit,6000.00
2023-11-20,Utility Bill,-110.00
