Date,Description,Amount (EUR),IBAN
2023-11-10,Grocery Shopping,-50.00,DExxxxxxxxxxxxxxxxxxxx
2023-11-15,ATM Withdrawal,-200.00,DExxxxxxxxxxxxxxxxxxxx
2023-11-28,Salary Credit,2500.00,DExxxxxxxxxxxxxxxxxxxx
2023-12-01,QuantumAI Deposit,5000.00,DExxxxxxxxxxxxxxxxxxxx
2023-12-05,Online Purchase,-120.00,DExxxxxxxxxxxxxxxxxxxx
2023-12-15,Restaurant Bill,-80.00,DExxxxxxxxxxxxxxxxxxxx
2023-12-22,Utility Bill,-150.00,DExxxxxxxxxxxxxxxxxxxx
2023-12-30,Grocery Shopping,-60.00,DExxxxxxxxxxxxxxxxxxxx
2024-01-05,Interest Income,5.00,DExxxxxxxxxxxxxxxxxxxx
2024-02-15,QuantumAI Deposit,10000.00,DExxxxxxxxxxxxxxxxxxxx
2024-02-20,Restaurant Bill,-75.00,DExxxxxxxxxxxxxxxxxxxx
